id,name,country_code
c19fd750-fd22-43b1-97ce-c107e3715c63,Iyake Suspended Lake,NG
c1d21d45-10b4-4ec6-97ed-ce799b042152,Lekki Conservation Center,NG
c2cc8173-2c4a-4964-8e65-cc0f74cf88da,Bozcaada,TR
c95621fb-a0ab-4bdc-bb65-d095f9b24491,Ring of Brodgar,GB
c972315e-ccfa-4915-aefb-3c398f22a880,Awhum Waterfall and Cave,NG
cc42df92-7bb3-47ea-8c92-9ecaf8c5b8c0,Locorotondo,IT
d20de930-fe09-42d5-a401-0cafbe11bdad,Éfeso,TR
d7f709d3-7644-4283-85bf-0146236264e8,Bagnara di Romagna,IT
d85bbb5f-a9b9-4de8-b42f-9cfceed08473,Valentine Texas Bar,US
dad8c402-fe5c-4b12-ac85-90a047ec43f6,Vézelay,FR
e0f017ed-ac7f-48d4-a56c-3497db1b8cf5,Castelvetro di Modena,IT
e419c86c-ab89-4ccc-8729-e7faee1b23c2,Villeréal,FR
e7e7dfd0-64b0-422a-8c74-d1f3e49561f9,Bandiagara Escarpment Cliff Dwellings,ML
e8c69d4e-bc97-4229-a72f-e5b6c5796361,Hagia Sophia Museum,TR
ea68e884-7369-4ba0-aa81-51e5533b9f88,Anghiari,IT
ecfa28f5-86b6-4b6f-9369-887139f0e841,Bagno di Romagna,IT
ed79db2c-5cfa-40e0-b8f9-6f4e766df849,Pergamon,TR
ef95e61d-5563-4452-952a-c0d9ecaedd13,Veules-les-Roses,FR
f9df6ee4-536a-41f1-837f-405b9c3979aa,Tomb of Askia,ML
fb30dca1-8692-4a59-8f09-740c49f214ce,Offida,IT
fea4be0a-ad9e-4239-ae85-693a79fcf77f,Norwegian Church Arts Centre,GB
