id,name,country_code
83e9ec66-4bda-4d50-b506-d771649b3395,Saint-Benoît-du-Sault,FR
122f305f-2b27-49d5-8540-151b5a71ab7f,Saint-Bertrand-de-Comminges,FR
e0eac088-cc22-4580-83bb-a457e2dfa45b,Saint-Céneri-le-Gérei,FR
86ef1245-89a0-40dc-8d88-5ec53a37a6ae,Saint-Jean-de-Côle,FR
4fc0c766-a041-4cda-a6d4-b3af3d35ace8,Saint-Jean-Pied-de-Port,FR
b01d90af-2022-49cc-853b-a0d8342568ff,Saint-Léon-sur-Vézère,FR
ee2f39ac-98c2-4ebd-b12f-1482174b3950,Saint-Robert,FR
2023b445-98f5-4d79-a879-11622f49bea6,Saint-Suliac,FR
eb5ab88e-23ac-49f0-b68c-909aa05b9f41,Sainte-Croix-en-Jarez,FR
9a1e0bb9-8d96-46c1-a782-625437a9226a,Sainte-Eulalie-d'Olt,FR
87466879-a62b-4fe0-8afa-4ef72f3e198c,Salers,FR
2f2b0ada-ea4e-4ec2-90e6-97b039b85eca,Salin Aigues-Mortes,FR
f104be95-2f8f-4c68-b9c5-f506eea8bb15,Sant'Antonino,FR
a5be211e-d33d-4beb-9e16-c5d6457c2705,Statue of Liberty at Pont de Grenelle,FR
6497d490-8341-4544-8dee-bba870265726,Talmont-sur-Gironde,FR
66ee1a73-34e3-4d77-956e-6205a4fac530,Temple de la Sybille (The Temple of Sybille),FR
c0825b6d-c226-480c-8b9f-7cfd754167bf,The Duluc Detective Agency,FR
dcd6ccc2-d346-4447-9632-462c35db45d2,The Etched Mirror Salons of Laperouse Restaurant,FR
937390ea-4c31-49b9-ab6a-3351133694a4,The Pitié-Salpêtrière Hospital,FR
b835bd69-deac-4194-bf8c-81db925fcb8d,The Room of Endangered and Extinct Species,FR
7be31976-e0fa-438c-8555-aee0cc9a823b,The Stravinsky Fountain,FR
3ce6d434-2dbf-4f36-b0a2-7d0e0128ffce,Tournemire,FR
26487864-d5c5-4712-a323-8f461fa75cc7,Traboules Secret Passages,FR
355d2383-8eef-4887-a08e-f0a652f8cd10,Turenne,FR
b847030b-d659-4c47-9aaa-921ca2d1d5f4,Usson,FR
40ec559b-b482-4954-9c13-d51163d0b63e,Val d'Oingt,FR
ef95e61d-5563-4452-952a-c0d9ecaedd13,Veules-les-Roses,FR
dad8c402-fe5c-4b12-ac85-90a047ec43f6,Vézelay,FR
e419c86c-ab89-4ccc-8729-e7faee1b23c2,Villeréal,FR
687328be-bdaf-425c-aba9-f70a7c959d6b,WWII Bunker Under Gare de l'Est,FR
6497ba27-c76d-4406-a936-89c149faef88,Yvoire,FR
fea4be0a-ad9e-4239-ae85-693a79fcf77f,Norwegian Church Arts Centre,GB
c95621fb-a0ab-4bdc-bb65-d095f9b24491,Ring of Brodgar,GB
c14a2f92-4361-41e3-ab33-b78b3cae8554,Skara Brae,GB
6ccbfaa1-40f8-40ce-aa03-4f23ef8488e9,Whitby Abbey,GB
293742e6-11eb-406c-82c0-c79c36fb5e79,White Cliffs of Dover,GB
ea68e884-7369-4ba0-aa81-51e5533b9f88,Anghiari,IT
795fef90-2cdc-4df1-bd39-ca647229169f,Apricale,IT
be4add00-cdd3-4774-8dc5-d8ce4a468331,Atzara,IT
8c7744ec-c42d-482e-8e73-9aff9a3b72eb,Babae Wine Window,IT
9c51f499-ac75-4243-a816-b2c951e10a84,BackDoor 43,IT
d7f709d3-7644-4283-85bf-0146236264e8,Bagnara di Romagna,IT
ecfa28f5-86b6-4b6f-9369-887139f0e841,Bagno di Romagna,IT
dea09a44-41a6-4a97-a4aa-d6cdd0580414,Bar Luce,IT
9fb308ee-f2ba-4141-b23e-94182bfa6d8c,Biblioteca Malatestiana,IT
732a9487-a06c-4205-893a-740297a2d931,Bobbio,IT
